index,PERIODO,COUNTRY,UNITA_MISURA,QTA_ORDINATA,QTA_EVASA,MAX_DELTA_MONTH,DELTA
11236,2019-01,AFGHANISTAN,MT,6096.0,0.0,1,6096.0
12173,2019-02,AFGHANISTAN,N,1364.0,631.0,2,733.0
64592,2023-10,ALBANIA,LT,5.0,5.0,10,0.0
10306,2018-12,ALBANIA,MT,15.0,15.0,12,0.0
11243,2019-01,ALBANIA,N,68.0,67.0,1,1.0
22480,2020-01,ALGERIA,MT,47112.6015625,0.0,1,47112.6015625
63665,2023-09,ALGERIA,N,9642.0,594.0,9,9048.0
29039,2020-08,ANDORRA,N,26.0,0.0,8,26.0
965,2018-02,ANTIGUA AND BARBUDA,N,16.0,16.0,2,0.0
18754,2019-09,AUSTRALIA,MT,64043.0,3.0,9,64040.0
59003,2023-04,AUSTRALIA,N,5352.0,2694.0,4,2658.0
37478,2021-05,AUSTRIA,LT,5.0,0.0,5,5.0
42160,2021-10,AUSTRIA,MT,86128.0,0.0,10,86128.0
59945,2023-05,AUSTRIA,N,1300.0,3.0,5,1297.0
29996,2020-09,Angola (including Cabinda),LT,20.0,0.0,9,20.0
55270,2022-12,Angola (including Cabinda),MT,64.0,0.0,12,64.0
22511,2020-01,Angola (including Cabinda),N,3495.0,12.0,1,3483.0
31874,2020-11,Argentina,LT,5.0,5.0,11,0.0
2860,2018-04,Argentina,MT,21403.96875,3108.96,4,18295.00875
45917,2022-02,Argentina,N,1332.0,499.0,2,833.0
57154,2023-02,Armenia,MT,2.0,0.0,2,2.0
52475,2022-09,Armenia,N,423.0,210.0,9,213.0
998,2018-02,Azerbaijan,LT,100.0,0.0,2,100.0
55288,2022-12,Azerbaijan,MT,24384.0,0.0,12,24384.0
35633,2021-03,Azerbaijan,N,1331.0,138.0,3,1193.0
56230,2023-01,BAHRAIN,MT,12192.0,0.0,1,12192.0
24407,2020-03,BAHRAIN,N,472.0,3.0,3,469.0
34708,2021-02,BANGLADESH,MT,7.0,0.0,2,7.0
38453,2021-06,BANGLADESH,N,1111.0,2.0,6,1109.0
9442,2018-11,Belarus,MT,6096.0,0.0,11,6096.0
27227,2020-06,Belarus,N,814.0,469.0,6,345.0
50632,2022-07,Belgium,MT,42694.0,0.0,7,42694.0
57185,2023-02,Belgium,N,1152.0,570.0,2,582.0
37534,2021-05,Benin,MT,3867.0,0.0,5,3867.0
37535,2021-05,Benin,N,356.0,12.0,5,344.0
3842,2018-05,Bolivia,LT,40.0,40.0,5,0.0
15076,2019-05,Bolivia,MT,10.0,10.0,5,0.0
61877,2023-07,Bolivia,N,42.0,0.0,7,42.0
4784,2018-06,Bosnia and Herzegovina,LT,10.0,10.0,6,0.0
28186,2020-07,Bosnia and Herzegovina,MT,2263.361328125,2263.36,7,0.0013281249998726707
10403,2018-12,Bosnia and Herzegovina,N,6.0,4.0,12,2.0
4790,2018-06,Brazil,LT,5.0,5.0,6,0.0
5728,2018-07,Brazil,MT,27440.0,27432.0,7,8.0
31937,2020-11,Brazil,N,575.0,219.0,11,356.0
60022,2023-05,Bulgaria,MT,1.0,0.0,5,1.0
60023,2023-05,Bulgaria,N,678.0,30.0,5,648.0
4802,2018-06,CANADA,LT,10.0,0.0,6,10.0
1060,2018-02,CANADA,MT,91428.0,6096.0,2,85332.0
55349,2022-12,CANADA,N,1185.0,546.0,12,639.0
31952,2020-11,CHINA,LT,5.0,0.0,11,5.0
3874,2018-05,CHINA,MT,42712.8984375,21345.5,5,21367.3984375
8555,2018-10,CHINA,N,1287.0,376.0,10,911.0
35702,2021-03,COLOMBIA,LT,5.0,0.0,3,5.0
33832,2021-01,COLOMBIA,MT,21354.0,0.0,1,21354.0
40385,2021-08,COLOMBIA,N,4236.0,249.0,8,3987.0
38518,2021-06,COSTA RICA,MT,4.0,4.0,6,0.0
44135,2021-12,COSTA RICA,N,44.0,0.0,12,44.0
30098,2020-09,CROATIA,LT,5.0,5.0,9,0.0
44140,2021-12,CROATIA,MT,8448.0,0.0,12,8448.0
65669,2023-11,CROATIA,N,520.0,223.0,11,297.0
19810,2019-10,CYPRUS,MT,3049.0,0.0,10,3049.0
65675,2023-11,CYPRUS,N,894.0,26.0,11,868.0
42280,2021-10,Cambodia,MT,6.0,0.0,10,6.0
49769,2022-06,Cambodia,N,203.0,0.0,6,203.0
19822,2019-10,Cameroon,MT,15.1484375,0.0,10,15.1484375
32927,2020-12,Cameroon,N,851.0,0.0,12,851.0
64754,2023-10,Canary Islands,LT,5.0,0.0,10,5.0
1107,2018-02,Canary Islands,MQ,0.0999755859375,0.0,2,0.0999755859375
21700,2019-12,Canary Islands,MT,76266.625,0.0,12,76266.625
63821,2023-09,Canary Islands,N,2810.0,119.0,9,2691.0
2984,2018-04,Cape Verde,LT,10.0,0.0,4,10.0
50722,2022-07,Cape Verde,MT,325.0,0.0,7,325.0
10475,2018-12,Cape Verde,N,5853.0,7.0,12,5846.0
26390,2020-05,Chile,LT,5.0,5.0,5,0.0
63832,2023-09,Chile,MT,85376.0,85344.0,9,32.0
25457,2020-04,Chile,N,1742.0,1625.0,4,117.0
12358,2019-02,"Congo, Republic of",MT,10656.0,0.0,2,10656.0
52607,2022-09,"Congo, Republic of",N,2122.0,579.0,9,1543.0
66652,2023-12,Czech Republic,MT,6100.0,0.0,12,6100.0
46061,2022-02,Czech Republic,N,1022.0,522.0,2,500.0
52618,2022-09,DENMARK,MT,6097.599609375,0.0,9,6097.599609375
32027,2020-11,DENMARK,N,1021.0,509.0,11,512.0
2080,2018-03,Democratic Rep. of the Congo,MT,12198.0,0.0,3,12198.0
19865,2019-10,Democratic Rep. of the Congo,N,1373.0,203.0,10,1170.0
31098,2020-10,Dominican Republic,CF,2.0,2.0,10,0.0
33908,2021-01,Dominican Republic,LT,5.0,5.0,1,0.0
65734,2023-11,Dominican Republic,MT,48800.0,0.0,11,48800.0
41399,2021-09,Dominican Republic,N,1658.0,423.0,9,1235.0
1152,2018-02,ECUADOR,CF,2.0,2.0,2,0.0
12388,2019-02,ECUADOR,MT,45712.0,0.0,2,45712.0
12389,2019-02,ECUADOR,N,192.0,37.0,2,155.0
5838,2018-07,EGYPT,CF,1.0,0.0,7,1.0
60128,2023-05,EGYPT,LT,15.0,0.0,5,15.0
64810,2023-10,EGYPT,MT,160042.19921875,3.0,10,160039.19921875
40475,2021-08,EGYPT,N,4720.0,3.0,8,4717.0
44224,2021-12,EL SALVADOR,MT,30.484375,30.48,12,0.004374999999999574
7721,2018-09,EL SALVADOR,N,62.0,14.0,9,48.0
20831,2019-11,EQUATORIAL GUINEA,N,4.0,2.0,11,2.0
64828,2023-10,ESTONIA,MT,2.0,0.0,10,2.0
64829,2023-10,ESTONIA,N,125.0,1.0,10,124.0
8674,2018-10,ETHIOPIA,MT,54874.0,0.0,10,54874.0
8675,2018-10,ETHIOPIA,N,1347.0,0.0,10,1347.0
54542,2022-11,FINLAND,LT,10.0,0.0,11,10.0
42376,2021-10,FINLAND,MT,3.900390625,0.0,10,3.900390625
59225,2023-04,FINLAND,N,371.0,0.0,4,371.0
24594,2020-03,FRANCE,CF,2.0,0.0,3,2.0
2134,2018-03,FRANCE,MT,131071.0,54868.0,3,76203.0
63911,2023-09,FRANCE,N,2339.0,94.0,9,2245.0
31157,2020-10,French Guiana,N,57.0,0.0,10,57.0
275,2018-01,French Polynesia,N,238.0,0.0,1,238.0
56438,2023-01,GEORGIA,LT,5.0,0.0,1,5.0
36784,2021-04,GEORGIA,MT,27441.0,0.0,4,27441.0
55505,2022-12,GEORGIA,N,2374.0,374.0,12,2000.0
14324,2019-04,GIBUTI,LT,5.0,0.0,4,5.0
48958,2022-05,GIBUTI,MT,51812.0,0.0,5,51812.0
7775,2018-09,GIBUTI,N,553.0,32.0,9,521.0
17140,2019-07,GUADELOUPE,MT,1.0,0.0,7,1.0
45221,2022-01,GUADELOUPE,N,641.0,0.0,1,641.0
19014,2019-09,GUATEMALA,CF,2.0,2.0,9,0.0
7784,2018-09,GUATEMALA,LT,5.0,5.0,9,0.0
15274,2019-05,GUATEMALA,MT,21359.0,21336.0,5,23.0
66755,2023-12,GUATEMALA,N,51.0,3.0,12,48.0
51784,2022-08,GUYANA,MT,30.0,0.0,8,30.0
56465,2023-01,GUYANA,N,190.0,0.0,1,190.0
9668,2018-11,Germany,LT,15.0,5.0,11,10.0
8734,2018-10,Germany,MT,51843.5,10.0,10,51833.5
42431,2021-10,Germany,N,3845.0,223.0,10,3622.0
4060,2018-05,Ghana,MT,22.0,0.0,5,22.0
25589,2020-04,Ghana,N,1077.0,0.0,4,1077.0
17168,2019-07,Greece,LT,25.0,15.0,7,10.0
5002,2018-06,Greece,MT,48787.5,0.0,6,48787.5
56483,2023-01,Greece,N,2482.0,483.0,1,1999.0
33088,2020-12,HAITI,MT,21344.0,0.0,12,21344.0
33089,2020-12,HAITI,N,522.0,58.0,12,464.0
1268,2018-02,HONDURAS,LT,5.0,5.0,2,0.0
55558,2022-12,HONDURAS,MT,13.6015625,0.0,12,13.6015625
55559,2022-12,HONDURAS,N,245.0,1.0,12,244.0
26548,2020-05,HUNGARY,MT,6.0,0.0,5,6.0
13445,2019-03,HUNGARY,N,227.0,0.0,3,227.0
347,2018-01,Hong Kong,N,76.0,76.0,1,0.0
32174,2020-11,ITALY,LT,30.0,0.0,11,30.0
31240,2020-10,ITALY,MT,60960.0,0.0,10,60960.0
63065,2023-08,ITALY,N,7195.0,2551.0,8,4644.0
4103,2018-05,Iceland,N,1.0,0.0,5,1.0
6914,2018-08,India,LT,5.0,0.0,8,5.0
7852,2018-09,India,MT,42698.400390625,0.0,9,42698.400390625
49037,2022-05,India,N,7744.0,66.0,5,7678.0
11602,2019-01,Indonesia,MT,6802.33984375,17.34,1,6784.99984375
7859,2018-09,Indonesia,N,669.0,0.0,9,669.0
52790,2022-09,Iraq,LT,20.0,0.0,9,20.0
41560,2021-09,Iraq,MT,106771.7890625,8.0,9,106763.7890625
19097,2019-09,Iraq,N,8016.0,29.0,9,7987.0
26588,2020-05,Ireland,LT,10.0,10.0,5,0.0
40630,2021-08,Ireland,MT,2.0,0.0,8,2.0
38759,2021-06,Ireland,N,373.0,45.0,6,328.0
29400,2020-08,Islamic Republic of Iran,CF,1.0,0.0,8,1.0
56546,2023-01,Islamic Republic of Iran,LT,10.0,0.0,1,10.0
23788,2020-02,Islamic Republic of Iran,MT,42694.580078125,6.58,2,42688.000078125
17237,2019-07,Islamic Republic of Iran,N,8153.0,23.0,7,8130.0
12560,2019-02,Israel,LT,15.0,0.0,2,15.0
20986,2019-11,Israel,MT,24402.25,0.0,11,24402.25
49067,2022-05,Israel,N,1736.0,29.0,5,1707.0
52816,2022-09,Ivory Coast,MT,5268.98046875,0.0,9,5268.98046875
57497,2023-02,Ivory Coast,N,3567.0,0.0,2,3567.0
12572,2019-02,JAMAICA,LT,5.0,5.0,2,0.0
37846,2021-05,JAMAICA,MT,48279.0,8.0,5,48271.0
58439,2023-03,JAMAICA,N,607.0,17.0,3,590.0
43466,2021-11,JAPAN,LT,5.0,0.0,11,5.0
10708,2018-12,JAPAN,MT,3064.0,0.0,12,3064.0
11645,2019-01,JAPAN,N,3586.0,1332.0,1,2254.0
17264,2019-07,Jordan,LT,40.0,0.0,7,40.0
60322,2023-05,Jordan,MT,79232.0,0.0,5,79232.0
17267,2019-07,Jordan,N,2783.0,0.0,7,2783.0
5104,2018-06,KENYA,MT,155441.0,7.0,6,155434.0
33185,2020-12,KENYA,N,2190.0,562.0,12,1628.0
18214,2019-08,KOSOVO,MT,6.0,0.0,8,6.0
24767,2020-03,KOSOVO,N,94.0,0.0,3,94.0
1372,2018-02,KYRGYZSTAN,MT,27424.0,0.0,2,27424.0
31325,2020-10,KYRGYZSTAN,N,849.0,0.0,10,849.0
15418,2019-05,Kazakhstan,MT,8512.0,0.0,5,8512.0
14483,2019-04,Kazakhstan,N,1568.0,0.0,4,1568.0
6064,2018-07,Kuwait,MT,131053.5,51817.0,7,79236.5
449,2018-01,Kuwait,N,1604.0,145.0,1,1459.0
53806,2022-10,"Lao, People's Dem. Rep.",MT,2.25,2.25,10,0.0
30407,2020-09,"Lao, People's Dem. Rep.",N,28.0,28.0,9,0.0
62236,2023-07,Latvia,MT,60960.0,24384.0,7,36576.0
33221,2020-12,Latvia,N,2066.0,42.0,12,2024.0
14506,2019-04,Lebanon,MT,100636.484375,27440.0,4,73196.484375
21059,2019-11,Lebanon,N,2596.0,20.0,11,2576.0
5153,2018-06,Liberia,N,18.0,0.0,6,18.0
2348,2018-03,Libya,LT,20.0,0.0,3,20.0
50086,2022-06,Libya,MT,48788.0,4.0,6,48784.0
11711,2019-01,Libya,N,8436.0,1385.0,1,7051.0
24820,2020-03,Lithuania,MT,6096.0,0.0,3,6096.0
34181,2021-01,Lithuania,N,1698.0,0.0,1,1698.0
2360,2018-03,MALAYSIA,LT,5.0,5.0,3,0.0
2362,2018-03,MALAYSIA,MT,7.298828125,0.0,3,7.298828125
6107,2018-07,MALAYSIA,N,153.0,50.0,7,103.0
54784,2022-11,MALDIVES,MT,9147.30078125,9147.3,11,0.0007812500007275958
4241,2018-05,MALDIVES,N,1.0,0.0,5,1.0
6119,2018-07,MALI,N,2.0,1.0,7,1.0
35138,2021-02,MALTA,LT,5.0,0.0,2,5.0
49180,2022-05,MALTA,MT,12196.0,0.0,5,12196.0
42629,2021-10,MALTA,N,2611.0,2.0,10,2609.0
20170,2019-10,MARTINIQUE,MT,4.0,0.0,10,4.0
20171,2019-10,MARTINIQUE,N,43.0,0.0,10,43.0
5198,2018-06,MAURITIUS,LT,5.0,0.0,6,5.0
65104,2023-10,MAURITIUS,MT,39661.71875,0.0,10,39661.71875
48257,2022-04,MAURITIUS,N,1055.0,0.0,4,1055.0
6138,2018-07,MEXICO,CF,5.0,5.0,7,0.0
524,2018-01,MEXICO,LT,15.0,15.0,1,0.0
11758,2019-01,MEXICO,MT,70129.0,70113.0,1,16.0
66047,2023-11,MEXICO,N,3550.0,2710.0,11,840.0
12696,2019-02,MOROCCO,CF,20.0,0.0,2,20.0
20186,2019-10,MOROCCO,LT,20.0,0.0,10,20.0
34227,2021-01,MOROCCO,MQ,8.0,0.0,1,8.0
29548,2020-08,MOROCCO,MT,51832.0,0.0,8,51832.0
35165,2021-02,MOROCCO,N,11253.0,2016.0,2,9237.0
42658,2021-10,Macedonia,MT,14.150390625,14.15,10,0.00039062499999964473
29555,2020-08,Macedonia,N,139.0,0.0,8,139.0
1478,2018-02,Madagascar,LT,10.0,10.0,2,0.0
41728,2021-09,Madagascar,MT,9.140625,0.0,9,9.140625
58577,2023-03,Madagascar,N,487.0,263.0,3,224.0
8972,2018-10,Malawi,LT,40.0,0.0,10,40.0
8974,2018-10,Malawi,MT,30.484375,0.0,10,30.484375
8975,2018-10,Malawi,N,792.0,0.0,10,792.0
40805,2021-08,Mayotte,N,274.0,0.0,8,274.0
61402,2023-06,"Moldova, Rep. of",MT,6.0,0.0,6,6.0
61403,2023-06,"Moldova, Rep. of",N,107.0,0.0,6,107.0
24905,2020-03,Montenegro,N,42.0,29.0,3,13.0
42694,2021-10,Mozambique,MT,660.0,0.0,10,660.0
42695,2021-10,Mozambique,N,770.0,45.0,10,725.0
15556,2019-05,Myanmar,MT,6096.0,0.0,5,6096.0
13685,2019-03,Myanmar,N,1136.0,640.0,3,496.0
23050,2020-01,NICARAGUA,MT,8648.0,0.0,1,8648.0
6203,2018-07,NICARAGUA,N,2770.0,0.0,7,2770.0
50200,2022-06,NIGER,MT,40.0,0.0,6,40.0
9017,2018-10,NIGER,N,677.0,0.0,10,677.0
60500,2023-05,Namibia,LT,50.0,25.0,5,25.0
34294,2021-01,Namibia,MT,21344.0,0.0,1,21344.0
61439,2023-06,Namibia,N,580.0,6.0,6,574.0
19322,2019-09,Netherlands,LT,10.0,5.0,9,5.0
37108,2021-04,Netherlands,MT,60.0,0.0,4,60.0
16517,2019-06,Netherlands,N,382.0,31.0,6,351.0
12778,2019-02,New Zealand,MT,13.5,6.1,2,7.4
14651,2019-04,New Zealand,N,764.0,4.0,4,760.0
64264,2023-09,Nigeria,MT,51841.0,0.0,9,51841.0
7169,2018-08,Nigeria,N,1774.0,1.0,8,1773.0
5298,2018-06,Norway,CF,3.0,0.0,6,3.0
12788,2019-02,Norway,LT,5.0,5.0,2,0.0
54910,2022-11,Norway,MT,3492.0,0.0,11,3492.0
45551,2022-01,Norway,N,2847.0,37.0,1,2810.0
3434,2018-04,Oman,LT,10.0,0.0,4,10.0
45555,2022-01,Oman,MQ,1.0,0.0,1,1.0
24028,2020-02,Oman,MT,14966.0,0.0,2,14966.0
56789,2023-01,Oman,N,2519.0,0.0,1,2519.0
66151,2023-11,PAKISTAN,KG,18.0,0.0,11,18.0
65216,2023-10,PAKISTAN,LT,45.0,0.0,10,45.0
43690,2021-11,PAKISTAN,MT,64009.0,9.0,11,64000.0
32459,2020-11,PAKISTAN,N,3686.0,30.0,11,3656.0
2513,2018-03,PANAMA,N,27.0,0.0,3,27.0
32467,2020-11,PERU,KG,20.0,20.0,11,0.0
15622,2019-05,PERU,MT,42689.0,42673.0,5,16.0
66167,2023-11,PERU,N,555.0,252.0,11,303.0
9076,2018-10,PHILIPPINES,MT,36600.0,0.0,10,36600.0
9077,2018-10,PHILIPPINES,N,1503.0,547.0,10,956.0
39032,2021-06,POLAND,LT,5.0,0.0,6,5.0
28738,2020-07,POLAND,MT,121920.0,0.0,7,121920.0
36227,2021-03,POLAND,N,5568.0,849.0,3,4719.0
33424,2020-12,PUERTO RICO,MT,30.0,30.0,12,0.0
26873,2020-05,PUERTO RICO,N,218.0,0.0,5,218.0
65252,2023-10,Palestinian Territory,LT,20.0,20.0,10,0.0
54022,2022-10,Palestinian Territory,MT,6141.0,0.0,10,6141.0
51215,2022-07,Palestinian Territory,N,1084.0,72.0,7,1012.0
39988,2021-07,Papua New Guinea,MT,40.0,0.0,7,40.0
42797,2021-10,Papua New Guinea,N,1816.0,0.0,10,1816.0
10040,2018-11,Paraguay,LT,15.0,15.0,11,0.0
3490,2018-04,Paraguay,MT,1.0,1.0,4,0.0
25955,2020-04,Paraguay,N,89.0,50.0,4,39.0
2557,2018-03,Portugal,KG,14720.0,0.0,3,14720.0
34384,2021-01,Portugal,MT,54866.0,0.0,1,54866.0
2561,2018-03,Portugal,N,1953.0,426.0,3,1527.0
46556,2022-02,Qatar,LT,40.0,0.0,2,40.0
12862,2019-02,Qatar,MT,54891.0,0.0,2,54891.0
19415,2019-09,Qatar,N,4088.0,463.0,9,3625.0
14740,2019-04,ROMANIA,MT,12.19921875,0.0,4,12.19921875
14741,2019-04,ROMANIA,N,482.0,275.0,4,207.0
10066,2018-11,RUSSIAN FEDERATION,MT,24409.3046875,11.0,11,24398.3046875
707,2018-01,RUSSIAN FEDERATION,N,1301.0,140.0,1,1161.0
55937,2022-12,Republic of South Sudan,N,1.0,0.0,12,1.0
52198,2022-08,Reunion Island,MT,21361.0,0.0,8,21361.0
4463,2018-05,Reunion Island,N,1127.0,558.0,5,569.0
43778,2021-11,SAINT LUCIA,LT,20.0,20.0,11,0.0
16636,2019-06,SAINT LUCIA,MT,90.0,90.0,6,0.0
49397,2022-05,SAINT LUCIA,N,108.0,2.0,5,106.0
63443,2023-08,SEYCHELLES,N,13.0,0.0,8,13.0
52214,2022-08,Saudi Arabia,LT,10.0,0.0,8,10.0
29752,2020-08,Saudi Arabia,MT,27466.6796875,0.0,8,27466.6796875
40985,2021-08,Saudi Arabia,N,13377.0,633.0,8,12744.0
24142,2020-02,Senegal,MT,6.0,0.0,2,6.0
67199,2023-12,Senegal,N,1272.0,0.0,12,1272.0
32570,2020-11,Serbia,LT,10.0,10.0,11,0.0
48484,2022-04,Serbia,MT,12192.0,0.0,4,12192.0
55037,2022-11,Serbia,N,673.0,76.0,11,597.0
2626,2018-03,Slovakia,MT,21344.0,21336.0,3,8.0
27899,2020-06,Slovakia,N,301.0,94.0,6,207.0
11056,2018-12,Slovenia,MT,7.5,7.5,12,0.0
65345,2023-10,Slovenia,N,1.0,0.0,10,1.0
57860,2023-02,South Africa,LT,40.0,5.0,2,35.0
44758,2021-12,South Africa,MT,64000.0,0.0,12,64000.0
6383,2018-07,South Africa,N,2875.0,150.0,7,2725.0
35402,2021-02,South Korea,LT,10.0,0.0,2,10.0
49444,2022-05,South Korea,MT,23312.0,0.0,5,23312.0
56933,2023-01,South Korea,N,5163.0,1550.0,1,3613.0
25110,2020-03,Spain,CF,10.0,0.0,3,10.0
5456,2018-06,Spain,LT,20.0,0.0,6,20.0
9202,2018-10,Spain,MT,79812.576171875,121.0,10,79691.576171875
9203,2018-10,Spain,N,5836.0,873.0,10,4963.0
23248,2020-01,Sri Lanka,MT,21344.0,0.0,1,21344.0
37289,2021-04,Sri Lanka,N,110.0,12.0,4,98.0
35420,2021-02,Sudan,LT,50.0,0.0,2,50.0
6406,2018-07,Sudan,MT,97567.5,0.0,7,97567.5
35423,2021-02,Sudan,N,3759.0,21.0,2,3738.0
41044,2021-08,Suriname,MT,6102.7890625,0.0,8,6102.7890625
42917,2021-10,Suriname,N,539.0,80.0,10,459.0
42920,2021-10,Sweden,LT,10.0,5.0,10,5.0
67258,2023-12,Sweden,MT,37.099609375,0.0,12,37.099609375
46667,2022-02,Sweden,N,1741.0,105.0,2,1636.0
46670,2022-02,Switzerland,LT,5.0,0.0,2,5.0
48544,2022-04,Switzerland,MT,21365.80078125,0.0,4,21365.80078125
32633,2020-11,Switzerland,N,1627.0,715.0,11,912.0
64462,2023-09,Syria,MT,3048.0,0.0,9,3048.0
64463,2023-09,Syria,N,880.0,1.0,9,879.0
65404,2023-10,TAIWAN R.O.C.,MT,21348.0,21340.0,10,8.0
821,2018-01,TAIWAN R.O.C.,N,354.0,188.0,1,166.0
44816,2021-12,TANZANIA,LT,20.0,0.0,12,20.0
54178,2022-10,TANZANIA,MT,48948.4296875,0.0,10,48948.4296875
5507,2018-06,TANZANIA,N,1630.0,0.0,6,1630.0
13936,2019-03,THAILAND,MT,4.0,0.0,3,4.0
39209,2021-06,THAILAND,N,1194.0,37.0,6,1157.0
67294,2023-12,TRINIDAD AND TOBAGO,MT,6099.0,0.0,12,6099.0
67295,2023-12,TRINIDAD AND TOBAGO,N,85.0,50.0,12,35.0
12074,2019-01,TUNISIA,LT,5.0,0.0,1,5.0
33604,2020-12,TUNISIA,MT,64073.6005859375,25.0,12,64048.6005859375
31733,2020-10,TUNISIA,N,2813.0,629.0,10,2184.0
27990,2020-06,TURKEY,CF,11.0,1.0,6,10.0
62626,2023-07,TURKEY,MT,94589.2109375,6.21,7,94583.0009375
62627,2023-07,TURKEY,N,9906.0,3430.0,7,6476.0
14896,2019-04,TURKMENISTAN,MT,12.0,0.0,4,12.0
37361,2021-04,TURKMENISTAN,N,426.0,0.0,4,426.0
43918,2021-11,Tajikistan,MT,8648.0,0.0,11,8648.0
55151,2022-11,Tajikistan,N,1287.0,0.0,11,1287.0
10224,2018-11,UGANDA,CF,12.0,4.0,11,8.0
13972,2019-03,UGANDA,MT,101.0,1.0,3,100.0
48605,2022-04,UGANDA,N,2159.0,119.0,4,2040.0
874,2018-01,UKRAINE,MT,88415.0,39624.0,1,48791.0
41123,2021-08,UKRAINE,N,7953.0,35.0,8,7918.0
57976,2023-02,UNITED ARAB EMIRATES,MT,42688.0,0.0,2,42688.0
58913,2023-03,UNITED ARAB EMIRATES,N,1569.0,99.0,3,1470.0
3692,2018-04,UNITED KINGDOM,LT,10.0,10.0,4,0.0
50494,2022-06,UNITED KINGDOM,MT,9.740234375,1.0,6,8.740234375
39263,2021-06,UNITED KINGDOM,N,4063.0,443.0,6,3620.0
27100,2020-05,URUGUAY,MT,10.0,0.0,5,10.0
51437,2022-07,URUGUAY,N,220.0,28.0,7,192.0
894,2018-01,USA,CF,5.0,5.0,1,0.0
56119,2022-12,USA,KG,36.0,36.0,12,0.0
13064,2019-02,USA,LT,10.0,5.0,2,5.0
17746,2019-07,USA,MT,17794.0,9146.0,7,8648.0
48635,2022-04,USA,N,3138.0,2178.0,4,960.0
10262,2018-11,UZBEKISTAN,LT,20.0,20.0,11,0.0
2776,2018-03,UZBEKISTAN,MT,3048.0,0.0,3,3048.0
19625,2019-09,UZBEKISTAN,N,758.0,0.0,9,758.0
60814,2023-05,VENEZUELA,MT,12282.0,30.0,5,12252.0
34607,2021-01,VENEZUELA,N,1606.0,0.0,1,1606.0
24314,2020-02,VIETNAM,LT,25.0,25.0,2,0.0
51460,2022-07,VIETNAM,MT,45745.880859375,21346.0,7,24399.880859375
1853,2018-02,VIETNAM,N,1345.0,89.0,2,1256.0
33682,2020-12,YEMEN,MT,507.90234375,0.0,12,507.90234375
24323,2020-02,YEMEN,N,4838.0,1026.0,2,3812.0
6542,2018-07,ZAMBIA,LT,30.0,10.0,7,20.0
2800,2018-03,ZAMBIA,MT,12201.0,0.0,3,12201.0
40241,2021-07,ZAMBIA,N,2023.0,32.0,7,1991.0
49604,2022-05,ZIMBABWE,LT,5.0,0.0,5,5.0
56158,2022-12,ZIMBABWE,MT,130.0,0.0,12,130.0
17783,2019-07,ZIMBABWE,N,1111.0,0.0,7,1111.0
