DESCRIZIONE2,COUNTRY,Delta Ordini,Numero Macchine
RAISED RIB S0900 L029 T,AFGHANISTAN,12192.0,3.0
TRIGLASS 13x8 L684,AFGHANISTAN,750.0,3.0
"M05x008 UNI5933 Fe ZINCATO Classe 10,9",AFGHANISTAN,132.0,3.0
"RAISED RIB S0900 L046,5 T",ALBANIA,15240.0,27.0
RAISED RIB S0900 L037 T,ALBANIA,6096.0,27.0
TRIGLASS 13x8 L684,ALBANIA,500.0,27.0
RAISED RIB S0900 L029 T,ALGERIA,76284.97750000001,395.0
FLUSH GRID S1100 L456,ALGERIA,56413.8203125,395.0
RAISED RIB S0900 L037 T,ALGERIA,42672.0,395.0
A CHIAVE PERMAN.0/I 2NO C22-WRS MO,ANDORRA,4.0,13.0
M12x1 L67 2MM USCITA M12 PNP NO,ANDORRA,4.0,13.0
RIFL.M18 L67 M12 PNP LUCE DIR.POL.TR,ANDORRA,4.0,13.0
ROTATIVO LUCCHETTABILE 3P NERO LOVATO,ANDORRA,4.0,13.0
PER RUBINETTO,ANTIGUA AND BARBUDA,1260.0,7.0
"OR 106 SILICONE Řc1,78 Ři6,751",ANTIGUA AND BARBUDA,990.0,7.0
10x22x06 61900-LLU (1),ANTIGUA AND BARBUDA,768.0,7.0
RAISED RIB S0900 L029 T,AUSTRALIA,161584.0,85.0
RAISED RIB S0900 L037 T,AUSTRALIA,149446.48875,85.0
"RAISED RIB S0900 L046,5 T",AUSTRALIA,24384.0,85.0
RAISED RIB S0900 L037 T,AUSTRIA,36576.0,38.0
RAISED RIB S0900 L055 T,AUSTRIA,36576.0,38.0
FLAT TOP S1000 L852,AUSTRIA,12986.6875,38.0
TRIGLASS 13x8 L684,Angola (including Cabinda),3500.0,18.0
QIR 400V 2500W,Angola (including Cabinda),720.0,18.0
RAISED RIB S0900 L037 T,Argentina,36636.977187500015,60.0
"RAISED RIB S0900 L046,5 T",Argentina,6096.002187499995,60.0
TRIGLASS 13x8 L684,Argentina,400.0,60.0
M04x008 ISO7380 AISI304 Classe A2-70,Armenia,660.0,10.0
TRIGLASS 13x8 L584,Armenia,200.0,10.0
"K100 25x2,5 L680 DC",Armenia,35.0,10.0
RAISED RIB S0900 L055 T,Azerbaijan,21367.244375,16.0
RAISED RIB S0900 L029 T,Azerbaijan,18318.48875,16.0
"RAISED RIB S0900 L046,5 T",Azerbaijan,18288.0,16.0
"RETTILINEA RULLINI L304,8",BAHRAIN,12192.0,9.0
TRIGLASS 13x8 L684,BAHRAIN,1100.0,9.0
TRIGLASS 13x8 L720,BAHRAIN,100.0,9.0
RAISED RIB S0900 L037 T,BANGLADESH,85352.0,21.0
FLAT TOP S1000 L597,BANGLADESH,20310.0,21.0
TRIGLASS 13x8 L720,BANGLADESH,15640.0,21.0
"RAISED RIB S0900 L046,5 T",Belarus,6096.0,27.0
"OR 106 SILICONE Řc1,78 Ři6,751",Belarus,1820.0,27.0
"OTTURATORE SILICONE Ř 22,5",Belarus,1460.0,27.0
RAISED RIB S0900 L037 T,Belgium,42688.0,28.0
TRIGLASS 13x8 L754,Belgium,1750.0,28.0
TRIGLASS 13x8 L584,Belgium,350.0,28.0
FLAT TOP S1505 L85,Benin,3897.0,2.0
TRIGLASS 13x8 L720,Benin,580.0,2.0
ORM 0090-40 50SH,Benin,148.0,2.0
TRIGLASS 13x8 L425,Bolivia,2650.0,7.0
Al 50x35 L125 (24),Bolivia,72.0,7.0
20x42x12 6004-2RS1 (2),Bolivia,63.0,7.0
"RAISED RIB S0900 L046,5 T",Bosnia and Herzegovina,21344.0,23.0
FG SQUARE FRICTION TOP S0900 L423,Bosnia and Herzegovina,2257.0,23.0
TRIGLASS 13x8 L684,Bosnia and Herzegovina,1150.0,23.0
"RAISED RIB S0900 L046,5 T",Brazil,359849.453125,119.0
RAISED S0900 L037 T POLIPROPILENE,Brazil,286512.0,119.0
RAISED RIB S0900 L037 T,Brazil,140315.461875,119.0
TRIGLASS 13x8 L684,Bulgaria,2700.0,31.0
TRIGLASS 13x8 L425,Bulgaria,2100.0,31.0
"OR 106 SILICONE Řc1,78 Ři6,751",Bulgaria,1514.0,31.0
RAISED RIB S0900 L037 T,CANADA,201151.244375,104.0
RAISED S0900 L029 T POLIPROPILENE,CANADA,51808.0,104.0
RAISED RIB S0900 L029 T,CANADA,39608.0,104.0
RAISED RIB S0900 L037 T,CHINA,1497724.5474999999,800.0
RAISED RIB S0900 L029 T,CHINA,454462.15718750004,800.0
"RAISED RIB S0900 L046,5 T",CHINA,140248.0,800.0
RAISED RIB S0900 L029 T,COLOMBIA,21518.915,43.0
RAISED RIB S0900 L037 T,COLOMBIA,21443.4575,43.0
FLAT TOP S1000 L597,COLOMBIA,17313.703125,43.0
12x28x12 63001 2RS,COSTA RICA,228.0,10.0
M04x006 UNI5927 Fe BRUNITO Classe 45H,COSTA RICA,210.0,10.0
RAISED RIB S0900 L037 T,CROATIA,70143.2421875,52.0
RAISED RIB S0900 L029 T,CROATIA,30503.2465625,52.0
"RAISED RIB S0900 L046,5 T",CROATIA,15240.0,52.0
RAISED RIB S0900 L037 T,CYPRUS,9144.0,13.0
TRIGLASS 13x8 L684,CYPRUS,2300.0,13.0
M04x008 ISO7380 AISI304 Classe A2-70,CYPRUS,390.0,13.0
"OTTURATORE SILICONE Ř 22,5",Cambodia,820.0,9.0
OR 9x4 70SH SILICONE,Cambodia,440.0,9.0
CILINDRO Ř25 C003,Cambodia,414.0,9.0
DI RITORNO -RMOLL-,Cameroon,160.0,6.0
M05x008 UNI5923 Fe ZINCATO Classe 45H,Cameroon,64.0,6.0
RAISED RIB S0900 L037 T,Canary Islands,243784.0,39.0
RAISED RIB S0900 L029 T,Canary Islands,73168.0,39.0
"RAISED RIB S0900 L046,5 T",Canary Islands,36576.0,39.0
PER VALVOLA,Cape Verde,3901.0,9.0
PER MARTINETTO,Cape Verde,1614.0,9.0
"""GACO"" DI031 Viton",Cape Verde,1331.0,9.0
POM+HTF Ř8 L51,Chile,108.0,43.0
"RAISED RIB S0900 L046,5 T",Chile,24.01312499999767,43.0
RAISED RIB S0900 L037 T,Chile,24.01312499999767,43.0
FLAT TOP S1000 L597,"Congo, Republic of",10657.0,6.0
TRIGLASS 13x8 L684,"Congo, Republic of",2500.0,6.0
TRIGLASS 13x8 L720,"Congo, Republic of",750.0,6.0
RAISED RIB S0900 L037 T,Czech Republic,33536.0,42.0
TRIGLASS 13x8 L720,Czech Republic,720.0,42.0
TRIGLASS 13x8 L684,Czech Republic,700.0,42.0
"LF845-K138 L34,9",DENMARK,12192.0,7.0
RAISED RIB S0900 L037 T,DENMARK,6096.0,7.0
FG SQUARE FRICTION TOP S0900 L423,DENMARK,2258.0,7.0
"RAISED RIB S0900 L046,5 T",Democratic Rep. of the Congo,18531.8925,5.0
FLAT TOP LFA 520 FT L850,Democratic Rep. of the Congo,8448.0,5.0
RAISED RIB S0900 L037 T,Democratic Rep. of the Congo,6339.8925,5.0
RAISED RIB S0900 L037 T,Dominican Republic,85372.48874999999,38.0
RAISED RIB RR611 L029,Dominican Republic,48820.75,38.0
RAISED RIB S0900 L029 T,Dominican Republic,21381.7175,38.0
RAISED RIB S0900 L037 T,ECUADOR,79208.0,20.0
RAISED RIB S0900 L055 T,ECUADOR,6104.004375000004,20.0
SOST.STATICI CG EE300042 CON ER EE300118,ECUADOR,61.0,20.0
RAISED RIB S0900 L029 T,EGYPT,399504.435,95.0
RAISED RIB S0900 L037 T,EGYPT,286566.484375,95.0
RAISED RIB S0900 L055 T,EGYPT,283596.2153125,95.0
RAISED RIB S0900 L037 T,EL SALVADOR,94534.97750000001,8.0
RAISED RIB S0900 L029 T,EL SALVADOR,73167.24656250002,8.0
TRIGLASS 13x8 L684,EL SALVADOR,6478.0,8.0
PCT TARGA TASTIERA,EQUATORIAL GUINEA,2.0,1.0
"K100 25x2,5 L665 DC",EQUATORIAL GUINEA,2.0,1.0
"Ř80 3,2Nm 400V 8P 3000rpm IMP.2000 SIN.",EQUATORIAL GUINEA,1.0,1.0
TRIGLASS 13x8 L684,ESTONIA,200.0,7.0
M04x008 ISO7380 AISI304 Classe A2-70,ESTONIA,60.0,7.0
"NEODIMIO 3x8 L17,5",ESTONIA,44.0,7.0
RAISED RIB S0900 L037 T,ETHIOPIA,54840.0,13.0
RAISED RIB S0900 L055 T,ETHIOPIA,54840.0,13.0
TRIGLASS 13x8 L754,ETHIOPIA,1050.0,13.0
TRIGLASS 13x8 L720,FINLAND,200.0,23.0
POM+HTF Ř8 L51,FINLAND,54.0,23.0
RULON-J 20x3 L310,FINLAND,52.0,23.0
RAISED RIB S0900 L037 T,FRANCE,243856.0021875,217.0
"RAISED RIB S0900 L046,5 T",FRANCE,64038.483125,217.0
"LF845-K138 L34,9",FRANCE,18288.0,217.0
A RIPRESA M10x35 M,French Guiana,20.0,2.0
POLIURETANO L700,French Guiana,15.0,2.0
M04x008 ISO7380 AISI304 Classe A2-70,French Polynesia,60.0,6.0
S0900 L152,French Polynesia,40.0,6.0
"Ře14 Ři7,2 H0,8",French Polynesia,40.0,6.0
RAISED RIB S0900 L037 T,GEORGIA,21352.0,62.0
RAISED RIB S0900 L055 T,GEORGIA,12192.0,62.0
3/8 06B-1 PROFILO DIRITTO NICH-GALV (2),GEORGIA,7661.8721875,62.0
"CURVILINEA A TAPPARELLA L82,5",GIBUTI,73152.0,7.0
"RETTILINEA TAPPARELLA L82,5",GIBUTI,21344.0,7.0
TRIGLASS 13x8 L684,GIBUTI,350.0,7.0
TRIGLASS 13x8 L684,GUADELOUPE,600.0,6.0
POLIURETANO L700,GUADELOUPE,60.0,6.0
POM+HTF Ř8 L51,GUADELOUPE,40.0,6.0
RAISED RIB S0900 L037 T,GUATEMALA,42950.904374999984,25.0
RAISED RIB S0900 L055 T,GUATEMALA,15270.484375,25.0
FLAT TOP S1000 L597,GUATEMALA,12527.0,25.0
"10,3x38 25A 500V RAPIDO gG",GUYANA,156.0,1.0
M04x008 ISO7380 AISI304 Classe A2-70,GUYANA,70.0,1.0
"PVC 80°C 300/500V 2x0,25mmq SH. P.FISSA",GUYANA,60.0,1.0
RAISED RIB S0900 L037 T,Germany,167893.40375,99.0
RAISED RIB S0900 L055 T,Germany,12252.9775,99.0
1/2 08B-1 NICHELATA-GALVANICA,Germany,2090.0,99.0
TRIGLASS 13x8 L684,Ghana,800.0,21.0
TRIGLASS 13x8 L475,Ghana,500.0,21.0
LATERALE A RULLI 581-613372 H46,Ghana,400.0,21.0
RAISED RIB S0900 L037 T,Greece,97574.484375,94.0
"RAISED RIB S0900 L046,5 T",Greece,45736.0,94.0
TRIGLASS 13x8 L684,Greece,5300.0,94.0
RAISED RIB S0900 L037 T,HAITI,51848.0,15.0
TRIGLASS 13x8 L754,HAITI,650.0,15.0
LATERALE A RULLI 581-613372 H46,HAITI,280.0,15.0
RAISED RIB S0900 L029 T,HONDURAS,57880.0,6.0
"RAISED RIB S0900 L046,5 T",HONDURAS,48784.0,6.0
RAISED RIB S0900 L076 T,HONDURAS,42723.0,6.0
RAISED RIB S0900 L037 T,HUNGARY,27432.0,34.0
RAISED RIB S0900 L055 T,HUNGARY,9144.0,34.0
TRIGLASS 13x8 L720,HUNGARY,1400.0,34.0
RAISED RIB S0900 L037 T,Hong Kong,6096.0,6.0
DI RITORNO -RMOLL-,Hong Kong,100.0,6.0
12x28x8 6001-2RS1 (2),Hong Kong,52.0,6.0
"RAISED RIB S0900 L046,5 T",ITALY,219672.4415625,847.0
RAISED RIB S0900 L037 T,ITALY,149380.2109375,847.0
RAISED RIB S0900 L029 T,ITALY,45804.2175,847.0
RAISED RIB S0900 L055 T,India,61020.9709375,63.0
RAISED RIB S0900 L029 T,India,57928.0,63.0
RAISED RIB S0900 L037 T,India,45780.973125000004,63.0
RAISED RIB S0900 L029 T,Indonesia,381193.1859375,69.0
RAISED RIB S0900 L037 T,Indonesia,201367.64375,69.0
FLAT FRICTION TOP S1000 L216,Indonesia,37662.69453125,69.0
RAISED RIB S0900 L037 T,Iraq,216515.45750000002,208.0
RAISED RIB S0900 L029 T,Iraq,195455.28562500002,208.0
RAISED RIB S0900 L055 T,Iraq,48806.493125,208.0
RAISED RIB S0900 L037 T,Ireland,9174.484375,29.0
"CURVILINEA A TAPPARELLA L82,5",Ireland,6096.0,29.0
RAISED RIB S0900 L055 T,Islamic Republic of Iran,45752.0,145.0
RAISED RIB S0900 L037 T,Islamic Republic of Iran,33596.9775,145.0
TRIGLASS 13x8 L475,Islamic Republic of Iran,25200.0,145.0
RAISED RIB S0900 L029 T,Israel,36576.0,48.0
TRIGLASS 13x8 L754,Israel,850.0,48.0
TRIGLASS 13x8 L684,Israel,800.0,48.0
FLUSH GRID S1100 L304,Ivory Coast,5266.3015625,6.0
10x26x12 6900 RIVESTITO,Ivory Coast,2152.0,6.0
TRIGLASS 13x8 L720,Ivory Coast,1200.0,6.0
RAISED RIB S0900 L037 T,JAMAICA,146579.91218749998,23.0
RAISED RIB S0900 L055 T,JAMAICA,33536.0,23.0
TRIGLASS 13x8 L684,JAMAICA,10250.0,23.0
RAISED RIB S0900 L037 T,JAPAN,3078.4865625,11.0
TRIGLASS 13x8 L684,JAPAN,3050.0,11.0
"Ře14,9 Ři12,3 L60 Sx",JAPAN,800.0,11.0
RAISED RIB S0900 L029 T,Jordan,225643.46187499998,30.0
FLUSH GRID S1100 L304,Jordan,105247.5,30.0
RAISED RIB S0900 L037 T,Jordan,33703.6771875,30.0
RAISED RIB S0900 L029 T,KENYA,286512.0,11.0
RAISED RIB S0900 L037 T,KENYA,103616.0,11.0
FLAT TOP S1000 L597,KENYA,8673.703125,11.0
TRIGLASS 13x8 L684,KOSOVO,3250.0,15.0
TRIGLASS 13x8 L754,KOSOVO,1100.0,15.0
"M08x020 UNI5931 Fe BRUNITO Classe 12,9",KOSOVO,170.0,15.0
"RAISED RIB S0900 L046,5 T",KYRGYZSTAN,51800.0,8.0
TRIGLASS 13x8 L584,KYRGYZSTAN,1050.0,8.0
"Ře14 Ři7,2 H0,8",KYRGYZSTAN,320.0,8.0
RAISED RIB S0900 L037 T,Kazakhstan,121952.0,44.0
"RAISED RIB S0900 L046,5 T",Kazakhstan,54872.0,44.0
RAISED RIB S0900 L029 T,Kazakhstan,45750.484375,44.0
RAISED RIB S0900 L029 T,Kuwait,280539.461875,35.0
RAISED RIB S0900 L037 T,Kuwait,88400.0,35.0
"RAISED RIB S0900 L046,5 T",Kuwait,42687.2421875,35.0
RAISED RIB S0900 L029 T,"Lao, People's Dem. Rep.",24384.0,3.0
FLAT TOP S1000 L597,"Lao, People's Dem. Rep.",8652.6453125,3.0
3/8 06B-1 PROFILO DIRITTO NICH-GALV (2),"Lao, People's Dem. Rep.",3424.5,3.0
"RAISED RIB S0900 L046,5 T",Latvia,36576.0,10.0
